name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_0,0,openl3-mel128-512-music,True,,knn-3,0.9432624113475178,0.9130434782608696,0.9692307692307692,0.9402985074626864
exp_1,0,openl3-mel128-512-music,True,,knn-5,0.9290780141843972,0.9104477611940298,0.9384615384615383,0.9242424242424244
exp_2,0,openl3-mel128-512-music,True,,knn-7,0.9361702127659576,0.9117647058823528,0.953846153846154,0.9323308270676692
exp_3,0,openl3-mel128-512-music,True,,svm-rbf,0.9858156028368794,0.9846153846153848,0.9846153846153848,0.9846153846153848
exp_4,0,openl3-mel128-512-music,True,,svm-linear,0.9929078014184396,0.9848484848484848,1.0,0.9923664122137404
exp_5,0,openl3-mel128-512-music,True,,svm-sigmoid,0.9787234042553192,0.9558823529411764,1.0,0.9774436090225564
exp_6,0,openl3-mel128-512-music,True,,svm-poly-1,0.9929078014184396,0.9848484848484848,1.0,0.9923664122137404
exp_7,0,openl3-mel128-512-music,True,,svm-poly-2,0.8085106382978723,0.7159090909090909,0.9692307692307692,0.823529411764706
exp_8,0,openl3-mel128-512-music,True,,svm-poly-3,0.9432624113475178,0.9130434782608696,0.9692307692307692,0.9402985074626864
exp_9,0,openl3-mel128-512-music,True,,svm-poly-4,0.7021276595744681,0.6161616161616161,0.9384615384615383,0.7439024390243902
