name,seed,preprocessor,fischer_reweighting,pca_n_components,classifier,metrics_accuracy_score,metrics_precision,metrics_recall,metrics_f1
exp_120,12,openl3-mel128-512-music,True,16,knn-3,0.9858156028368794,1.0,0.9718309859154929,0.9857142857142858
exp_121,12,openl3-mel128-512-music,True,16,knn-5,0.9858156028368794,1.0,0.9718309859154929,0.9857142857142858
exp_122,12,openl3-mel128-512-music,True,16,knn-7,0.9645390070921984,0.9583333333333334,0.9718309859154929,0.965034965034965
exp_123,12,openl3-mel128-512-music,True,16,svm-rbf,0.9858156028368794,1.0,0.9718309859154929,0.9857142857142858
exp_124,12,openl3-mel128-512-music,True,16,svm-linear,0.9929078014184396,1.0,0.9859154929577464,0.9929078014184396
exp_125,12,openl3-mel128-512-music,True,16,svm-sigmoid,0.950354609929078,0.9571428571428572,0.943661971830986,0.950354609929078
exp_126,12,openl3-mel128-512-music,True,16,svm-poly-1,0.9858156028368794,1.0,0.9718309859154929,0.9857142857142858
exp_127,12,openl3-mel128-512-music,True,16,svm-poly-2,0.8368794326241135,0.9444444444444444,0.7183098591549296,0.816
exp_128,12,openl3-mel128-512-music,True,16,svm-poly-3,0.9219858156028368,1.0,0.8450704225352113,0.916030534351145
exp_129,12,openl3-mel128-512-music,True,16,svm-poly-4,0.7659574468085106,1.0,0.5352112676056338,0.6972477064220183
